ipaddr_origin,idp_origin,ipaddr_resp,idp_resp,host,uri
8.177.117.177,2373,192.57.251.179,8000,www.google.com,/login
22.14.194.60,6021,203.18.1.200,8080,google.com,/en-US/docs/Web/HTTP
79.72.223.224,6405,150.180.227.54,80,www.instagram.com,/course
211.124.153.149,1435,5.54.240.175,80,www.instagram.com,/course
183.70.180.132,5681,59.126.4.58,8000,www.instagram.com,/search?q=data
28.217.94.20,5648,55.32.246.164,80,www.instagram.com,/stories/12345
27.163.183.247,5248,251.24.39.123,80,login.microsoftonline.com,/auth/verify
24.40.170.38,4589,128.136.230.67,8080,student.university.ac.th,/stories/12345
170.207.70.226,1759,208.62.92.224,80,zoom.us,/course
55.163.200.126,5556,149.9.18.129,80,student.university.ac.th,/profile
92.8.241.214,1662,29.8.87.117,80,amazon.com,/download/latest
142.159.222.109,6123,108.121.4.91,8000,medium.com,/dashboard
193.203.99.100,5301,252.194.195.150,80,medium.com,/search?q=data
146.210.66.42,5255,146.233.49.167,80,medium.com,/products/books
65.167.74.164,3103,196.236.106.179,80,student.university.ac.th,/products/books
55.120.193.41,6145,105.249.180.175,8080,university.ac.th,/products/books
176.253.67.190,4102,167.179.66.199,80,amazon.com,/messages
203.57.93.161,4230,29.161.19.190,80,cdn.discordapp.com,/home
198.168.178.16,3876,114.31.234.38,8000,www.google.com,/stories/12345
155.38.207.19,2351,151.38.94.0,80,cdn.discordapp.com,/login
66.61.241.157,4833,35.132.205.92,80,university.ac.th,/api/ping
75.191.92.66,2518,218.132.225.251,80,api.line.me,/dashboard
230.141.49.208,4176,79.126.43.40,80,teams.microsoft.com,/stories/12345
136.196.26.126,4972,43.152.23.181,80,api.line.me,/messages
31.214.205.46,3590,168.149.158.25,8000,api.line.me,/course
179.110.68.9,2841,101.167.62.156,80,google.com,/home
11.73.93.46,2200,137.67.177.142,80,zoom.us,/profile
4.154.124.175,3127,64.108.151.233,8000,youtube.com,/stories/12345
217.247.78.248,2867,80.59.102.255,80,university.ac.th,/products/books
6.77.79.151,5400,101.238.41.139,8000,zoom.us,/download/latest
203.228.177.140,4434,27.178.94.153,8000,teams.microsoft.com,/stories/12345
72.155.9.58,1471,24.184.161.163,80,zoom.us,/course
162.132.83.70,3052,54.103.236.84,8000,facebook.com,/home
90.173.153.155,2223,160.57.7.168,80,login.microsoftonline.com,/home
76.195.24.108,5586,221.145.75.181,80,zoom.us,/dashboard
198.28.79.233,1278,221.225.34.215,80,amazon.com,/download/latest
53.134.120.231,2560,48.37.72.213,8000,facebook.com,/course
23.248.108.92,4313,1.224.221.236,80,youtube.com,/en-US/docs/Web/HTTP
210.232.159.119,6189,54.87.48.84,80,api.line.me,/login
201.49.127.192,2782,72.120.249.107,80,facebook.com,/profile
197.84.43.108,5160,177.219.20.82,80,stackoverflow.com,/messages
7.77.102.120,2681,199.57.142.51,80,www.instagram.com,/dashboard
223.172.106.140,4699,32.87.65.131,80,university.ac.th,/api/ping
129.161.121.111,1505,165.65.236.128,80,www.google.com,/home
24.44.190.58,4813,152.52.100.217,8080,amazon.com,/download/latest
136.244.250.185,5506,137.193.124.43,8080,stackoverflow.com,/products/books
97.134.36.174,1935,241.135.29.33,8000,cdn.discordapp.com,/dashboard
75.235.66.34,1149,245.167.206.179,80,university.ac.th,/download/latest
198.173.103.131,3820,238.11.196.62,80,twitter.com,/course
212.146.75.52,2526,170.179.47.116,80,amazon.com,/api/ping
69.220.125.149,6338,34.42.12.35,80,youtube.com,/search?q=data
168.151.193.28,5559,53.180.207.233,80,facebook.com,/en-US/docs/Web/HTTP
178.131.190.151,4039,208.252.39.226,8000,www.google.com,/dashboard
69.211.124.105,5057,120.90.192.235,80,stackoverflow.com,/login
128.158.180.122,5230,237.151.18.23,80,amazon.com,/login
77.190.103.141,3261,83.134.237.252,80,google.com,/home
58.8.190.209,3923,205.20.213.1,8000,www.instagram.com,/course
171.46.243.139,1672,166.38.96.27,80,google.com,/auth/verify
85.80.82.196,1814,74.222.33.247,80,teams.microsoft.com,/auth/verify
252.121.66.83,3692,115.208.149.131,80,amazon.com,/home
85.22.0.68,3454,215.218.35.83,8000,www.google.com,/dashboard
148.7.186.146,6051,98.201.107.74,80,university.ac.th,/search?q=data
210.57.88.77,5985,32.35.96.182,80,zoom.us,/products/books
255.68.88.5,3369,127.150.133.99,80,university.ac.th,/profile
111.152.184.204,5249,136.183.123.152,80,amazon.com,/download/latest
110.27.217.64,1476,175.241.13.40,80,www.instagram.com,/en-US/docs/Web/HTTP
220.213.49.29,6459,163.2.12.195,80,youtube.com,/download/latest
226.240.235.60,4836,187.37.89.110,80,cdn.discordapp.com,/profile
5.180.193.181,4971,226.113.123.193,80,twitter.com,/download/latest
155.136.46.78,4563,101.2.35.152,80,www.google.com,/messages
79.136.172.92,3377,101.244.193.154,8000,student.university.ac.th,/home
191.133.168.232,2821,232.148.203.81,80,google.com,/download/latest
233.197.55.235,6222,102.138.123.154,80,api.line.me,/download/latest
135.138.34.109,4626,170.63.45.161,8000,student.university.ac.th,/en-US/docs/Web/HTTP
107.212.230.170,5618,229.201.125.255,80,zoom.us,/login
97.85.80.60,5147,73.119.190.75,8000,www.instagram.com,/messages
128.81.81.238,5279,153.107.65.221,80,cdn.discordapp.com,/products/books
32.28.240.52,4707,240.251.198.30,8000,student.university.ac.th,/auth/verify
48.71.221.202,4888,248.104.21.122,80,amazon.com,/course
47.92.79.197,4619,117.227.170.252,80,amazon.com,/login
201.61.90.149,4205,2.127.168.1,80,stackoverflow.com,/api/ping
157.226.214.116,2302,48.203.44.0,80,amazon.com,/download/latest
145.97.166.206,2822,25.210.58.170,80,login.microsoftonline.com,/dashboard
167.36.150.104,5948,159.184.88.8,80,facebook.com,/auth/verify
135.119.117.74,2355,53.185.121.200,80,facebook.com,/auth/verify
216.135.207.134,3471,145.205.24.104,80,www.instagram.com,/profile
236.78.10.197,3879,87.240.59.174,80,twitter.com,/course
42.21.142.104,3940,121.23.12.35,80,university.ac.th,/products/books
131.52.38.82,3970,41.52.38.164,80,twitter.com,/auth/verify
137.95.39.35,1017,236.11.176.153,80,teams.microsoft.com,/auth/verify
111.102.248.229,1476,255.136.110.124,80,university.ac.th,/course
189.204.19.51,1386,15.110.192.23,80,amazon.com,/messages
93.181.135.181,2191,71.130.28.177,8000,facebook.com,/auth/verify
106.184.251.151,6114,12.12.228.62,80,medium.com,/search?q=data
232.71.208.120,4352,198.145.118.117,80,medium.com,/profile
76.168.240.178,1046,7.213.213.254,80,www.google.com,/messages
25.192.70.182,6491,180.19.140.133,8000,student.university.ac.th,/course
109.32.68.207,1772,146.150.26.79,80,www.instagram.com,/search?q=data
46.67.150.5,5326,99.176.223.204,80,facebook.com,/download/latest
208.198.41.149,3500,4.34.243.4,80,amazon.com,/search?q=data
231.57.119.115,3611,236.47.210.142,80,www.google.com,/stories/12345
45.139.163.25,3072,115.76.77.105,8080,teams.microsoft.com,/dashboard
10.213.99.16,4392,245.233.109.10,80,cdn.discordapp.com,/download/latest
108.239.95.93,1815,62.42.213.55,80,zoom.us,/profile
145.97.193.111,1318,232.8.26.223,8000,twitter.com,/auth/verify
3.224.216.54,2722,122.168.76.194,80,stackoverflow.com,/dashboard
42.10.15.138,1167,163.89.241.60,80,cdn.discordapp.com,/home
235.29.39.170,6483,133.181.14.102,80,youtube.com,/auth/verify
95.68.3.143,5043,90.215.11.50,80,amazon.com,/login
8.65.33.228,1549,34.101.86.161,80,medium.com,/download/latest
76.94.84.234,2549,64.114.248.83,8000,api.line.me,/api/ping
151.39.225.232,5830,74.13.230.78,80,amazon.com,/search?q=data
191.96.218.155,1489,96.242.184.216,80,login.microsoftonline.com,/home
175.197.124.37,4389,232.13.59.119,80,twitter.com,/messages
120.28.114.195,4132,179.160.49.12,8000,teams.microsoft.com,/home
127.29.235.66,3390,57.134.119.194,80,student.university.ac.th,/profile
158.39.204.56,3821,12.59.123.178,8000,zoom.us,/course
237.151.46.184,5092,84.240.143.37,80,api.line.me,/stories/12345
174.254.202.247,1246,19.252.224.162,80,api.line.me,/en-US/docs/Web/HTTP
189.127.126.171,2362,207.66.24.172,80,cdn.discordapp.com,/stories/12345
155.119.32.153,2522,43.236.204.39,80,facebook.com,/products/books
197.251.83.157,5634,41.3.17.94,8000,student.university.ac.th,/profile
224.163.243.19,3596,169.12.247.73,80,amazon.com,/stories/12345
74.112.235.141,1060,122.214.144.48,8000,student.university.ac.th,/products/books
61.157.185.150,4170,163.4.121.254,80,cdn.discordapp.com,/messages
121.65.77.156,2114,143.76.4.196,80,cdn.discordapp.com,/search?q=data
120.160.227.0,4105,139.211.28.239,80,login.microsoftonline.com,/course
107.33.90.227,3678,221.94.144.238,80,facebook.com,/en-US/docs/Web/HTTP
181.46.254.169,5221,228.45.166.221,8000,login.microsoftonline.com,/en-US/docs/Web/HTTP
46.78.193.6,1870,104.194.85.199,80,university.ac.th,/en-US/docs/Web/HTTP
3.79.202.177,2831,232.72.77.51,80,twitter.com,/products/books
81.54.128.181,4939,35.21.243.115,80,login.microsoftonline.com,/products/books
73.152.186.167,5141,163.123.31.240,8000,www.instagram.com,/download/latest
255.17.114.46,1065,49.53.134.22,80,google.com,/dashboard
32.90.42.199,6188,190.14.32.246,80,google.com,/messages
237.150.53.76,2348,47.43.137.93,8000,api.line.me,/en-US/docs/Web/HTTP
165.92.125.130,1034,89.239.160.164,8000,www.instagram.com,/auth/verify
107.124.232.160,3341,123.60.253.172,8000,cdn.discordapp.com,/messages
201.21.5.17,4060,75.233.190.178,80,twitter.com,/auth/verify
78.88.248.67,1550,33.22.23.23,80,medium.com,/dashboard
211.120.204.27,1828,182.143.31.38,80,university.ac.th,/api/ping
210.12.170.125,3335,208.73.239.51,80,google.com,/en-US/docs/Web/HTTP
40.20.39.105,1236,167.177.219.16,8000,api.line.me,/home
107.0.161.49,4741,149.43.114.6,80,medium.com,/course
185.174.253.113,5750,81.218.142.154,80,login.microsoftonline.com,/products/books
69.216.228.95,3185,187.242.137.39,80,university.ac.th,/en-US/docs/Web/HTTP
248.128.77.87,1164,14.236.9.41,80,cdn.discordapp.com,/download/latest
13.19.185.207,4635,32.18.183.62,80,cdn.discordapp.com,/api/ping
113.42.134.35,1916,161.225.196.15,80,medium.com,/products/books
240.8.233.120,5992,254.234.13.12,80,www.google.com,/products/books
232.150.64.229,3132,231.157.247.52,80,teams.microsoft.com,/en-US/docs/Web/HTTP
237.178.39.153,5133,197.101.179.32,80,youtube.com,/dashboard
58.15.156.35,2091,115.89.54.155,80,teams.microsoft.com,/auth/verify
166.130.234.150,5505,165.26.222.119,80,www.instagram.com,/dashboard
3.1.116.235,2034,24.54.13.153,80,cdn.discordapp.com,/profile
174.192.250.251,3802,241.105.37.117,80,stackoverflow.com,/stories/12345
137.146.110.54,2223,143.225.176.26,80,youtube.com,/stories/12345
178.243.214.212,1659,219.246.117.112,80,api.line.me,/stories/12345
197.83.19.128,1843,88.51.70.64,80,twitter.com,/download/latest
226.43.80.195,1315,182.175.230.166,80,cdn.discordapp.com,/stories/12345
89.137.232.115,3715,85.77.182.104,80,zoom.us,/login
51.58.241.11,1304,166.203.154.117,80,zoom.us,/search?q=data
211.50.73.254,2048,144.128.49.76,80,amazon.com,/stories/12345
195.217.85.76,6156,203.28.162.182,80,www.google.com,/profile
91.72.149.24,5367,94.66.194.118,80,zoom.us,/download/latest
164.36.77.117,1229,77.105.75.73,80,api.line.me,/stories/12345
234.25.203.184,1074,114.167.38.66,80,twitter.com,/download/latest
121.93.196.213,6001,212.137.17.161,8000,google.com,/search?q=data
197.133.145.154,1597,74.68.219.197,80,login.microsoftonline.com,/home
169.124.23.62,3483,209.199.92.76,8080,www.google.com,/api/ping
45.157.81.190,4902,67.2.186.115,80,university.ac.th,/products/books
4.252.65.108,1116,92.13.76.14,8000,facebook.com,/course
12.162.24.165,1143,242.133.179.187,80,facebook.com,/auth/verify
49.59.186.35,5048,182.79.169.24,8000,stackoverflow.com,/search?q=data
202.167.158.110,3589,114.210.3.251,80,stackoverflow.com,/api/ping
168.198.80.98,4047,154.153.135.243,80,university.ac.th,/stories/12345
202.19.242.57,2415,143.130.28.203,80,twitter.com,/stories/12345
146.47.215.45,5584,95.239.10.129,80,teams.microsoft.com,/download/latest
171.149.227.141,5474,75.81.18.181,80,medium.com,/auth/verify
183.63.158.146,4879,141.108.15.51,80,facebook.com,/en-US/docs/Web/HTTP
175.247.31.18,4858,238.51.53.129,80,facebook.com,/products/books
131.114.114.239,3935,31.49.200.216,8080,api.line.me,/dashboard
27.162.83.122,5947,153.85.243.53,80,twitter.com,/search?q=data
138.56.95.3,5643,6.90.52.27,8000,www.instagram.com,/profile
132.84.70.73,5490,129.229.248.152,8080,teams.microsoft.com,/api/ping
42.178.7.158,5800,180.222.27.69,80,stackoverflow.com,/en-US/docs/Web/HTTP
188.36.169.181,1779,107.123.104.29,80,twitter.com,/download/latest
253.61.179.225,4191,15.47.217.49,80,amazon.com,/search?q=data
243.94.222.226,1944,44.94.139.197,80,facebook.com,/dashboard
166.216.225.109,2591,230.67.69.107,8080,stackoverflow.com,/dashboard
251.220.69.201,3751,25.37.223.42,80,teams.microsoft.com,/auth/verify
175.85.255.174,4190,38.148.42.85,80,university.ac.th,/stories/12345
10.194.190.222,3340,180.4.3.76,80,teams.microsoft.com,/home
152.102.186.148,4723,183.189.151.162,80,stackoverflow.com,/products/books
123.128.25.118,1854,26.227.8.228,80,medium.com,/search?q=data
8.24.202.173,5045,117.191.84.110,8080,login.microsoftonline.com,/home
133.17.231.250,4203,38.70.213.6,80,teams.microsoft.com,/profile
121.113.221.21,5472,217.46.228.24,80,amazon.com,/api/ping
193.182.50.205,4482,128.202.156.158,80,student.university.ac.th,/auth/verify
65.217.196.238,4243,88.59.155.208,80,api.line.me,/stories/12345
38.188.249.176,2308,0.81.241.196,80,medium.com,/messages
95.200.39.167,3903,210.103.232.57,80,youtube.com,/api/ping
54.189.130.255,2310,140.156.103.28,8080,amazon.com,/download/latest
26.138.235.50,1351,46.81.254.140,80,teams.microsoft.com,/profile
139.189.84.170,2263,177.102.17.141,80,twitter.com,/stories/12345
33.7.58.157,6349,159.68.81.163,8000,cdn.discordapp.com,/api/ping
71.181.7.180,2798,25.210.147.59,8000,login.microsoftonline.com,/stories/12345
134.171.55.44,1253,143.133.107.191,80,youtube.com,/en-US/docs/Web/HTTP
18.18.103.42,3147,193.226.206.149,80,www.instagram.com,/download/latest
59.17.31.52,5552,139.4.220.47,8080,facebook.com,/auth/verify
80.88.97.12,3854,136.78.249.231,80,teams.microsoft.com,/api/ping
132.130.157.148,2528,93.86.129.193,80,www.google.com,/products/books
102.29.165.160,2364,82.75.42.122,80,university.ac.th,/download/latest
167.40.0.222,1176,146.7.243.165,8000,www.instagram.com,/login
160.112.47.214,2478,110.117.231.29,80,medium.com,/auth/verify
28.137.124.156,4127,33.102.69.151,80,twitter.com,/auth/verify
159.226.110.244,3752,156.80.121.227,8000,google.com,/login
31.74.46.65,2243,185.28.47.187,80,www.google.com,/home
106.40.250.5,3612,153.149.20.235,80,teams.microsoft.com,/messages
87.238.216.147,1835,213.215.88.178,8000,student.university.ac.th,/messages
3.250.255.87,6099,204.68.106.52,8000,youtube.com,/auth/verify
181.54.226.147,5174,190.53.179.115,8000,api.line.me,/download/latest
36.84.22.28,5368,9.35.100.248,8080,www.google.com,/messages
32.51.222.43,2585,209.165.73.215,80,facebook.com,/search?q=data
207.68.160.120,3770,61.84.112.118,80,api.line.me,/home
76.152.86.121,6410,128.195.159.221,8080,login.microsoftonline.com,/search?q=data
114.223.255.130,6315,111.155.244.145,80,amazon.com,/stories/12345
253.183.190.251,6300,33.81.252.64,80,zoom.us,/messages
74.78.7.41,3334,61.195.131.36,80,teams.microsoft.com,/download/latest
223.107.137.190,4890,172.83.86.98,80,www.google.com,/dashboard
118.113.212.239,6214,155.213.25.137,8000,stackoverflow.com,/auth/verify
154.92.5.43,1454,240.84.203.22,80,university.ac.th,/auth/verify
115.158.173.154,5583,24.60.234.2,8000,facebook.com,/en-US/docs/Web/HTTP
141.117.200.119,4612,116.217.243.43,80,facebook.com,/auth/verify
248.138.145.110,4694,177.50.234.238,80,youtube.com,/api/ping
56.95.141.250,1643,86.125.186.51,80,amazon.com,/stories/12345
92.81.176.237,3581,227.138.116.159,80,login.microsoftonline.com,/home
68.12.10.123,5959,38.189.152.67,80,google.com,/api/ping
105.35.85.242,4045,169.134.231.10,80,api.line.me,/auth/verify
19.210.151.105,2621,110.104.59.80,8000,stackoverflow.com,/search?q=data
189.237.166.244,4100,11.82.97.82,8000,login.microsoftonline.com,/auth/verify
69.251.180.163,3639,23.91.211.144,8000,student.university.ac.th,/stories/12345
225.193.88.209,2953,218.203.19.88,80,login.microsoftonline.com,/search?q=data
6.89.236.236,4638,200.18.135.0,80,amazon.com,/course
222.235.122.153,3074,251.93.252.241,8000,medium.com,/profile
239.12.209.247,2932,141.0.156.247,80,zoom.us,/dashboard
225.209.196.14,1296,32.11.55.174,80,zoom.us,/auth/verify
40.203.200.54,2085,14.97.91.114,80,google.com,/profile
189.249.44.108,4036,92.176.109.101,8080,cdn.discordapp.com,/login
233.126.177.210,5195,155.149.18.38,8000,teams.microsoft.com,/messages
233.206.134.210,2691,219.208.120.87,80,student.university.ac.th,/messages
62.234.67.236,3316,87.204.63.37,80,teams.microsoft.com,/download/latest
34.14.70.27,1715,69.111.252.5,80,cdn.discordapp.com,/download/latest
179.33.178.186,5147,238.192.87.3,80,student.university.ac.th,/stories/12345
10.119.116.0,1249,37.209.121.60,80,zoom.us,/download/latest
187.86.165.114,2303,159.112.93.64,80,api.line.me,/dashboard
143.252.194.90,4749,167.129.136.214,80,facebook.com,/api/ping
89.125.246.88,3730,60.77.240.123,80,stackoverflow.com,/dashboard
25.14.151.39,2161,161.246.3.234,80,youtube.com,/search?q=data
163.227.247.242,2381,139.140.72.15,80,medium.com,/api/ping
211.173.64.130,5485,220.160.172.240,8000,api.line.me,/api/ping
160.192.144.111,1397,106.73.182.116,80,teams.microsoft.com,/profile
32.105.224.9,2484,227.113.217.14,80,university.ac.th,/home
28.112.55.73,5480,48.211.203.249,8080,cdn.discordapp.com,/api/ping
247.242.222.58,5373,177.59.85.143,80,facebook.com,/auth/verify
154.30.242.16,2138,85.3.174.7,80,stackoverflow.com,/api/ping
6.170.241.211,4040,46.244.103.139,80,login.microsoftonline.com,/dashboard
76.225.19.124,3372,58.164.197.20,8000,login.microsoftonline.com,/course
8.163.233.121,4957,245.255.127.216,80,zoom.us,/home
89.106.28.243,5127,210.229.157.127,80,zoom.us,/products/books
253.167.215.39,5648,33.25.107.243,8080,zoom.us,/messages
10.75.192.3,4507,174.67.160.244,8000,twitter.com,/login
85.190.248.85,2815,175.173.226.125,80,twitter.com,/products/books
130.18.10.208,5341,232.140.192.100,80,login.microsoftonline.com,/profile
158.123.121.119,2773,222.111.173.130,8080,login.microsoftonline.com,/download/latest
172.133.79.244,1242,85.187.92.55,8000,login.microsoftonline.com,/messages
154.232.115.151,5237,164.30.129.111,80,www.instagram.com,/products/books
139.228.224.31,4954,134.196.155.78,80,twitter.com,/course
23.45.0.112,4648,38.77.146.130,80,twitter.com,/api/ping
21.95.134.104,1180,254.66.20.174,80,google.com,/auth/verify
251.244.227.187,3590,222.119.135.69,80,youtube.com,/dashboard
89.54.91.168,4807,38.115.175.245,80,api.line.me,/en-US/docs/Web/HTTP
93.42.123.203,4810,224.104.110.118,8000,login.microsoftonline.com,/home
224.239.61.95,4230,126.201.214.71,80,university.ac.th,/auth/verify
94.190.7.104,4704,91.187.35.108,80,medium.com,/products/books
194.206.154.16,4551,194.39.187.242,8000,teams.microsoft.com,/home
47.9.88.248,3573,102.176.77.149,80,amazon.com,/en-US/docs/Web/HTTP
242.224.234.75,4244,153.137.190.121,80,student.university.ac.th,/profile
77.212.107.93,1657,216.10.42.11,80,twitter.com,/en-US/docs/Web/HTTP
203.99.194.219,3416,151.63.57.101,8000,university.ac.th,/profile
146.7.90.50,3590,24.249.151.175,80,twitter.com,/auth/verify
225.204.13.180,4598,100.127.17.48,8000,amazon.com,/api/ping
34.9.234.125,1574,244.46.221.221,80,www.instagram.com,/download/latest
194.48.130.102,4868,97.118.83.169,8000,login.microsoftonline.com,/messages
82.20.235.94,2014,233.188.53.76,80,facebook.com,/download/latest
172.18.125.103,5562,129.191.243.126,8080,login.microsoftonline.com,/download/latest
119.59.184.255,4612,152.134.255.188,80,facebook.com,/auth/verify
154.70.57.1,2473,180.150.39.84,80,twitter.com,/download/latest
144.59.208.217,5741,145.178.40.35,80,medium.com,/dashboard
18.247.254.202,5818,97.107.88.95,80,facebook.com,/login
163.241.50.231,4940,44.8.175.91,80,api.line.me,/profile
234.98.136.87,4304,66.125.0.149,80,www.instagram.com,/profile
69.74.179.157,5420,91.16.10.96,8000,google.com,/login
218.56.108.157,4385,0.41.33.245,80,api.line.me,/home
155.78.8.235,2775,172.162.145.70,8000,cdn.discordapp.com,/login
253.203.215.205,5269,106.69.97.187,8000,google.com,/download/latest
217.108.38.43,3373,53.171.26.123,80,facebook.com,/download/latest
110.201.223.65,1825,57.85.45.33,80,cdn.discordapp.com,/search?q=data
142.44.227.66,3918,22.180.66.254,80,stackoverflow.com,/course
