ipaddr_origin,idp_origin,ipaddr_resp,idp_resp,host
234.127.87.82,5912,81.66.151.118,80,login.microsoftonline.com
51.108.225.60,5199,176.73.123.4,80,www.google.com
179.241.199.15,6152,107.242.29.131,8000,stackoverflow.com
7.242.94.191,4495,213.142.4.85,80,api.line.me
152.95.234.169,1900,159.166.34.22,80,api.line.me
86.127.182.95,3648,226.110.88.252,80,cdn.discordapp.com
21.1.77.193,5233,237.135.204.51,8080,university.ac.th
226.207.148.209,3393,54.165.40.46,80,twitter.com
150.43.122.218,4007,51.60.90.145,80,student.university.ac.th
68.222.248.10,4295,152.62.164.62,8080,facebook.com
20.210.237.38,1123,34.6.105.141,8080,api.line.me
28.144.236.69,4641,57.47.252.217,80,api.line.me
25.92.8.92,1629,167.48.78.48,80,medium.com
127.158.147.152,3078,7.166.139.118,80,login.microsoftonline.com
141.92.35.36,5826,202.177.97.13,80,youtube.com
84.87.74.40,2625,217.54.122.81,80,teams.microsoft.com
45.222.129.57,1566,204.248.36.156,80,google.com
118.77.104.12,1361,35.37.220.135,80,youtube.com
39.101.155.231,1199,196.226.13.4,8080,twitter.com
22.128.126.220,5681,133.238.15.150,8080,api.line.me
203.146.55.76,4957,7.77.245.190,8000,medium.com
130.182.142.178,1897,17.198.153.19,80,student.university.ac.th
129.63.68.73,1880,193.135.117.69,8000,google.com
162.66.228.192,1174,83.45.215.255,80,www.instagram.com
253.193.161.192,2081,166.9.123.84,8000,google.com
208.157.208.165,5103,245.142.17.160,80,youtube.com
246.196.208.227,1133,64.214.79.158,80,student.university.ac.th
58.43.155.96,1521,201.15.241.136,80,api.line.me
229.34.221.231,3835,244.29.226.24,8080,login.microsoftonline.com
76.22.81.177,4562,221.124.105.125,80,api.line.me
72.106.221.54,2644,126.108.24.250,80,zoom.us
180.174.255.197,6025,10.165.89.137,80,zoom.us
43.2.112.56,2127,31.66.161.11,80,facebook.com
59.1.207.2,3091,115.93.48.169,80,university.ac.th
210.190.109.96,5979,144.170.27.80,80,teams.microsoft.com
27.69.62.54,6467,118.52.18.140,8000,student.university.ac.th
18.161.175.208,1588,71.76.159.136,8000,api.line.me
189.144.79.223,5319,99.112.16.200,80,medium.com
181.15.204.63,4349,145.69.23.161,8000,google.com
78.240.88.125,5385,215.184.209.1,80,www.google.com
126.123.189.9,4488,86.27.56.189,80,youtube.com
93.184.32.51,5958,198.167.133.123,80,google.com
228.153.245.87,4199,128.218.67.42,80,google.com
243.113.16.39,3405,44.232.0.33,80,facebook.com
167.64.9.113,5847,104.238.218.230,80,login.microsoftonline.com
37.20.172.107,4348,148.137.136.34,8080,facebook.com
9.162.73.75,3931,154.200.26.102,80,zoom.us
76.142.0.99,2416,119.90.121.12,8000,twitter.com
218.195.9.154,6496,186.14.138.162,80,teams.microsoft.com
222.221.153.225,3115,251.217.119.19,80,student.university.ac.th
7.66.172.76,4854,211.217.69.167,80,www.instagram.com
176.215.49.43,3637,60.185.57.64,8080,stackoverflow.com
41.132.7.197,5629,142.27.33.39,80,university.ac.th
85.94.99.29,2333,140.9.79.143,8080,login.microsoftonline.com
207.66.3.90,3238,100.57.236.167,80,www.instagram.com
221.21.126.168,2520,90.205.240.89,80,cdn.discordapp.com
52.188.94.47,5556,222.38.80.159,80,youtube.com
234.208.240.183,2214,178.12.124.64,80,medium.com
153.6.42.85,2583,168.177.250.217,80,www.google.com
172.187.208.86,3757,81.22.246.223,80,medium.com
223.104.199.210,3409,190.20.109.153,80,student.university.ac.th
24.111.2.53,2903,204.239.108.175,80,amazon.com
88.19.60.170,1726,67.247.217.214,80,zoom.us
162.94.43.200,5385,206.215.21.122,80,twitter.com
205.122.156.76,1851,207.170.153.95,80,stackoverflow.com
56.60.130.141,4451,154.220.11.104,80,university.ac.th
158.8.28.99,6489,172.119.248.25,80,cdn.discordapp.com
201.194.174.43,4970,140.152.133.14,80,cdn.discordapp.com
59.114.39.221,4918,72.200.49.213,8080,twitter.com
81.78.218.176,5087,173.162.139.49,80,www.google.com
171.16.238.43,2892,80.19.198.61,80,student.university.ac.th
89.179.0.162,4365,143.171.235.233,8000,medium.com
189.109.65.121,1500,58.152.72.139,80,www.google.com
44.3.51.216,5588,58.57.150.218,8080,student.university.ac.th
248.42.4.163,3479,175.198.117.29,80,www.google.com
103.214.111.78,6127,165.33.183.97,8000,api.line.me
249.138.65.165,5658,51.70.72.116,8000,medium.com
218.56.98.70,1303,130.202.148.163,8000,stackoverflow.com
38.114.252.118,2748,105.72.96.120,8080,medium.com
191.211.148.67,3837,124.155.33.246,80,youtube.com
28.34.75.115,4937,48.184.175.158,80,teams.microsoft.com
81.184.19.4,5403,223.177.204.121,8000,api.line.me
255.92.230.38,3415,103.95.213.217,80,university.ac.th
204.142.232.172,5847,247.22.184.3,8080,medium.com
220.237.192.225,5904,40.17.151.12,80,amazon.com
67.88.230.130,5472,14.150.102.6,8080,zoom.us
239.255.26.125,5744,225.58.7.22,80,zoom.us
31.39.81.161,5240,1.154.244.7,80,zoom.us
237.92.120.130,4438,81.175.128.10,8080,google.com
193.120.51.236,1753,96.109.166.91,8000,google.com
81.191.105.131,4364,59.216.8.120,80,teams.microsoft.com
124.214.175.145,3621,213.116.93.36,80,www.instagram.com
30.130.35.98,5116,230.122.154.252,8000,zoom.us
60.77.155.90,1965,71.123.250.183,8000,youtube.com
128.162.230.61,2083,174.82.146.52,80,university.ac.th
197.36.48.150,6078,148.30.151.238,80,api.line.me
22.82.242.73,3926,180.70.248.171,8000,cdn.discordapp.com
76.26.74.209,5791,235.246.104.243,80,medium.com
214.66.176.246,5077,59.83.185.82,80,stackoverflow.com
169.51.26.164,4142,9.53.118.151,80,www.google.com
189.90.179.134,2049,132.100.12.211,80,www.instagram.com
247.78.74.143,3449,47.143.153.173,80,www.google.com
74.173.253.158,5440,221.106.249.73,8000,stackoverflow.com
239.238.22.83,1945,198.138.222.48,8000,medium.com
35.232.203.155,4972,40.201.45.179,80,university.ac.th
121.88.52.107,1623,108.90.129.101,80,zoom.us
19.119.172.144,1969,151.44.158.231,80,cdn.discordapp.com
58.34.32.164,2465,11.202.116.14,8000,amazon.com
48.57.220.123,2231,208.203.252.5,8000,teams.microsoft.com
89.237.110.168,6032,220.180.56.188,80,www.google.com
2.179.90.10,5389,118.193.82.177,8000,youtube.com
186.82.239.159,3392,59.3.48.62,80,www.google.com
21.134.249.114,3483,96.19.181.93,80,www.google.com
189.250.137.133,3859,167.109.114.102,80,teams.microsoft.com
11.4.92.241,3358,158.247.196.65,80,youtube.com
243.2.138.179,2721,220.67.164.201,80,stackoverflow.com
132.159.173.3,3341,238.14.149.60,80,api.line.me
156.128.98.164,1592,11.40.227.108,80,youtube.com
196.166.60.126,4692,173.82.139.101,80,api.line.me
33.165.121.81,3766,54.206.102.95,8000,google.com
237.42.38.202,6250,154.254.119.82,80,api.line.me
194.226.141.202,3305,254.46.92.169,8000,login.microsoftonline.com
88.147.240.108,5553,67.179.83.50,80,university.ac.th
182.158.211.74,1745,178.148.26.31,8080,youtube.com
174.214.85.203,4627,193.47.77.35,80,stackoverflow.com
59.37.54.31,2436,16.142.0.6,80,university.ac.th
63.254.114.8,6121,23.46.128.14,8000,university.ac.th
222.48.144.106,3454,77.200.90.240,8000,login.microsoftonline.com
197.74.130.215,4318,207.33.123.74,80,www.instagram.com
9.132.195.127,6443,218.47.250.237,80,google.com
247.189.253.10,4166,241.236.61.104,8080,www.instagram.com
29.2.52.2,2992,60.179.114.96,80,google.com
14.47.87.1,4869,60.10.165.230,80,teams.microsoft.com
104.31.57.41,2290,231.59.10.33,8000,facebook.com
101.106.9.93,4467,80.100.202.8,8000,api.line.me
174.218.204.41,4851,140.2.54.196,80,facebook.com
140.14.158.202,1529,244.28.104.204,8080,facebook.com
56.251.58.164,4523,241.185.94.66,8000,stackoverflow.com
190.20.30.17,1854,237.193.203.233,80,twitter.com
129.124.98.131,2568,36.45.178.172,80,login.microsoftonline.com
148.49.219.56,6291,201.117.237.111,80,university.ac.th
146.207.4.171,1555,144.171.111.138,80,www.google.com
240.238.118.83,2276,116.157.127.217,80,zoom.us
232.14.175.214,2537,143.87.78.144,80,www.instagram.com
36.214.137.55,1056,85.98.146.219,8080,stackoverflow.com
121.215.42.137,2311,253.169.118.225,8000,api.line.me
57.151.138.136,2609,246.226.81.69,8000,youtube.com
182.243.47.120,5682,69.176.162.54,8080,amazon.com
175.134.199.112,1003,128.65.138.145,80,university.ac.th
69.178.42.215,3145,176.236.104.129,8000,twitter.com
162.72.1.240,3648,195.43.60.243,80,amazon.com
157.84.192.197,4512,244.197.239.222,80,stackoverflow.com
154.237.77.25,6192,49.16.247.158,80,stackoverflow.com
135.230.203.31,1118,57.164.17.69,80,medium.com
128.60.169.31,3810,32.40.88.100,80,google.com
79.80.198.80,5345,102.152.119.35,80,student.university.ac.th
182.121.209.154,1475,146.17.146.79,80,stackoverflow.com
127.175.208.23,1212,233.127.36.66,80,youtube.com
207.56.145.9,2603,165.5.252.156,80,amazon.com
128.113.88.220,3518,209.238.145.189,80,teams.microsoft.com
34.227.197.23,4125,44.235.152.208,80,twitter.com
233.225.12.70,5822,9.249.207.189,80,teams.microsoft.com
168.28.193.149,4113,95.26.77.105,80,amazon.com
128.207.41.163,3711,145.103.192.224,80,cdn.discordapp.com
70.69.20.148,5500,207.104.244.110,80,youtube.com
69.184.131.17,1545,205.35.141.49,80,www.instagram.com
71.202.71.145,3049,61.91.144.151,80,www.google.com
237.1.25.198,4455,88.24.4.136,80,stackoverflow.com
240.220.122.68,1652,199.1.19.197,80,login.microsoftonline.com
100.250.64.45,1062,229.140.83.61,80,cdn.discordapp.com
33.108.136.151,5227,198.81.239.11,80,google.com
140.58.82.11,3019,242.220.135.51,80,university.ac.th
50.179.130.165,4292,229.108.197.190,8000,amazon.com
44.90.67.45,5517,7.102.79.9,8000,api.line.me
